game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20150411PHICHI,21401189,PHI,CHI,CHI,-4000,240,40,90,9,26,25,36,13,35,48,20,20,8,10,5,3,114
20150411MEMLAC,21401190,MEM,LAC,MEM,425,240,34,77,2,9,16,24,11,32,43,24,20,8,18,4,6,86
20150411MEMLAC,21401190,MEM,LAC,LAC,-550,240,35,88,6,27,18,22,12,31,43,25,21,10,13,6,4,94
20150411UTAPOR,21401191,UTA,POR,UTA,425,240,36,79,6,17,33,42,15,33,48,20,17,9,16,4,4,111
20150411UTAPOR,21401191,UTA,POR,POR,-550,240,41,87,6,30,17,22,9,30,39,22,25,11,12,4,4,105
20150411MINGSW,21401192,MIN,GSW,MIN,550,240,35,79,11,24,20,26,8,32,40,27,22,9,15,4,5,101
20150411MINGSW,21401192,MIN,GSW,GSW,-800,240,42,93,11,31,15,21,13,37,50,28,19,10,12,5,4,110
20150412BKNMIL,21401193,BKN,MIL,BKN,100,240,27,83,3,18,16,22,16,33,49,17,20,9,21,5,7,73
20150412BKNMIL,21401193,BKN,MIL,MIL,-120,240,41,83,6,20,8,12,7,40,47,30,20,13,17,7,5,96
20150412CLEBOS,21401194,CLE,BOS,CLE,450,240,31,79,3,22,13,19,11,33,44,18,18,1,24,5,1,78
20150412CLEBOS,21401194,CLE,BOS,BOS,-600,240,46,84,10,24,15,22,6,32,38,29,22,20,7,1,5,117
20150412CHADET,21401195,CHA,DET,CHA,320,240,27,79,4,15,19,29,6,27,33,16,13,8,9,2,4,77
20150412CHADET,21401195,CHA,DET,DET,-400,240,41,81,16,28,18,23,12,44,56,33,23,6,14,4,2,116
20150412SACDEN,21401196,SAC,DEN,SAC,330,240,38,74,5,18,30,42,6,26,32,28,21,13,20,0,1,111
20150412SACDEN,21401196,SAC,DEN,DEN,-420,240,45,82,9,26,23,30,10,32,42,32,29,15,18,1,0,122
20150412OKCIND,21401197,OKC,IND,OKC,130,240,41,95,11,28,11,28,15,28,43,18,28,5,8,4,3,104
